lat,long,Address,Country,State,totalCount
34.6334296,-91.3851265,"Roe, AR 72134, USA",United States,Arkansas,1
53.002232,-2.270725,"KeeleSU Building (Keele University Students' Union), Keele University, Keele Rd, Newcastle-under-Lyme, Staffordshire ST5 5BJ, UK",United Kingdom,England,1
47.0797205,15.4673345,"Med Uni Graz, Medizinische Universität Graz, 8010 Graz, Austria",Austria,Styria,1
37.6494271,-97.2493671,"Cessna Aircraft Field (CEA), 7751 East Pawnee Street, Wichita, Kansas 67207, USA",United States,Kansas,1
33.1736176,-91.9171046,"UAM, 1326 State Highway 52 West, Crossett, AR 71635, USA",United States,Arkansas,1
47.247287,5.989619,"Besançon Astronomical Observatory, 41Bis Avenue de l'Observatoire, 25000 Besançon, France",France,Franche-Comté,1
52.157493,4.4830564,"Universiteit Leiden, Rapenburg 70, 2311 EZ Leiden, The Netherlands",The Netherlands,South Holland,1
-34.8608112,-56.1698616,"Nantes, Montevideo 12300, Uruguay",Uruguay,Montevideo Department,1
40.3572976,-74.6672226,"Princeton, NJ, USA",United States,New Jersey,1
29.6207361,74.2948455,"Instiute of Vast Studies, Bhagat Namdev Marg, Hanumangarh, Rajasthan 335512, India",India,Rajasthan,1
36.0247886,-106.0463776,"Espanola Municipal Airport (ESO), Ohkay Owingeh Airport, Espanola, NM 87532, USA",United States,New Mexico,1
39.3270191,-81.5484578,"Vienna, WV, USA",United States,West Virginia,1
40.4116794,-74.4223395,"MSSL Soccer, 8 Cornwall Court, East Brunswick, NJ 08816, USA",United States,New Jersey,1
30.47688,-90.035572,"UCM, Abita Springs, LA 70420, USA",United States,Louisiana,1
50.0755381,14.4378005,"Prague, Czech Republic",Czech Republic,Hlavní město Praha,1
31.151667,-81.391388,"Malcolm McKinnon Airport (SSI), Airport Road, Saint Simons Island, GA 31522, USA",United States,Georgia,1
48.099932,2.5249259,"Bordeaux-en-Gâtinais, France",France,Centre,1
-23.363641,-149.522269,"Tubuai - Mataura Airport (TUB), French Polynesia",French Polynesia,Austral Islands,1
38.9338676,-77.1772604,"McLean, VA, USA",United States,Virginia,1
32.2648072,-110.9464028,"1700 East Fort Lowell Road #106, Tucson, AZ 85719, USA",United States,Arizona,1
55.7030565,37.5307455,"Lomonosov Moscow State University, ulitsa Leninskiye Gory, ГСП-1, Moscow, Russia, 119991",Russia,Moscow,1
32.2332841,-110.9488008,"Tucson, AZ 85721, USA",United States,Arizona,1
35.6044614,139.6838097,"２丁目-１２ Ookayama, Ota, Tokyo 152-8551, Japan",Japan,Tokyo,1
47.499669,18.964282,"Konkoly Observatory, 1121 Budapest, Konkoly-Thege Miklós Way 15-17, Hungary",Hungary,Budapest,1
47.9221451,-97.0709413,"University of North Dakota, 264 Centennial Drive, Grand Forks, ND 58202, USA",United States,North Dakota,1
34.1477849,-118.1445155,"Pasadena, CA, USA",United States,California,1
33.7520999,-84.3865074,"Georgia State University, 33 Gilmer Street Southeast, Atlanta, GA 30303, USA",United States,Georgia,1
45.0402739,7.763851,"Observatory of Turin, Via Osservatorio, 20, 10025 Pino Torinese Turin, Italy",Italy,Piedmont,1
35.8595101,-87.4691814,"Nunnelly, TN 37137, USA",United States,Tennessee,1
52.4489717,-1.9308602,"Birmingham, West Midlands B15 2TT, UK",United Kingdom,NULL,1
39.0122815,-77.431469,"45101 Warp Drive, Orbital Sciences Corporation, Dulles, VA 20166, USA",United States,Virginia,1
37.428434,-122.0723816,"Mountain View, CA 94043, USA",United States,California,1
36.1484862,-86.9523954,"Nashville, TN 37209, USA",United States,Tennessee,1
50.86386,4.69594,"3001 Heverlee, Belgium",Belgium,Flanders,1
25.0499933,102.6958788,"Wuhua, Kunming, Yunnan, China, 650031",China,Yunnan,1
37.4288689,-122.1755349,"Department of Applied Physics, Stanford University, Biological and Chemical Engineering Building, 348 Via Pueblo, Stanford, CA 94305, USA",United States,California,1
40.7981161,-77.8628052,"Davey Laboratory, The Pennsylvania State University, State College, PA 16801, USA",United States,Pennsylvania,1
42.350306,-71.105704,"BU Astronomy, Boston University, 725 Commonwealth Avenue, Boston, MA 02215, USA",United States,Massachusetts,1
51.232202,-0.332378,"Dorking, Surrey, UK",United Kingdom,England,1
38.9656971,-77.0622028,"Washington, DC 20015, USA",United States,District of Columbia,1
34.1561783,-118.1528623,"Pasadena, CA 91109, USA",United States,California,1
32.2546522,-110.9447027,"Tucson, AZ 85719, USA",United States,Arizona,1
37.8794162,-122.2466126,"Lawrence Hall of Science, University of California Berkeley, 1 Centennial Drive #5200, Berkeley, California 94720, USA",United States,California,1
47.6536379,-122.3112789,"Department of Astronomy, University of Washington, Seattle, WA 98105, USA",United States,Washington,1
32.7803568,-105.8203745,"Apache Point Observatory, Lincoln National Forest, 2001 Apache Point Road, Sunspot, NM 88349, USA",United States,New Mexico,1
43.7437096,11.2580472,"50125 FI, Italy",Italy,Tuscany,1
42.3539697,-83.0695047,"666 West Hancock Street, Wayne State University, Detroit, MI 48201, USA",United States,Michigan,1
52.3816146,-1.5642787,"University of Warwick, Gibbet Hill Road, Coventry CV4 7AL, UK",United Kingdom,NULL,1
29.5828572,-98.6224593,"University of Texas at San Antonio, 1 UTSA Cir, San Antonio, TX 78249, USA",United States,Texas,1
35.8440605,-106.2868064,"Los Alamos National Laboratory, 4200 W Jemez Rd #300, Los Alamos, NM 87544, USA",United States,New Mexico,1
41.7919004,-87.6015496,"Department of Astronomy and Astrophysics, Chicago, IL 60637, USA",United States,Illinois,1
39.1645203,-76.8983569,"Johns Hopkins University Applied Physics Laboratory, 11100 Johns Hopkins Road, Laurel, MD 20723, USA",United States,Maryland,1
43.1345489,-70.9301162,"University of New Hampshire, 105 Main Street, Durham, NH 03824, USA",United States,New Hampshire,1
36.9741171,-122.0307963,"Santa Cruz, CA, USA",United States,California,1
54.768139,-1.5718583,"Durham, County Durham DH1 3LE, UK",United Kingdom,NULL,1
51.5868971,-1.257857,"West Hagbourne, Oxfordshire OX11 0NL, UK",United Kingdom,NULL,1
38.4344533,-78.8617866,"901 Carrier Drive, James Madison University, Harrisonburg, VA 22807, USA",United States,Virginia,1
56.130366,-106.346771,Canada,Canada,NULL,1
52.6230859,-1.1250114,"University Road, Leicester LE1 7RA, UK",United Kingdom,NULL,1
48.701844,2.134078,"Gif-sur-Yvette, France",France,Île-de-France,1
19.032459,-98.3156623,"Inaoe, Luis Erro 1, Santa María Tonatzintla, San Andrés Cholula, 72840 Puebla, Mexico",Mexico,Mexico,1
49.8054547,-97.1398013,"University of Manitoba, 66 Chancellors Cir, Winnipeg, MB R3T 2N2, Canada",Canada,Manitoba,1
40.4156747,-3.6952896,"28014 Madrid, Spain",Spain,Community of Madrid,1
52.8353557,6.3658171,"7991 Dwingeloo, The Netherlands",The Netherlands,Drenthe,1
52.0704978,4.3006999,"The Hague, The Netherlands",The Netherlands,South Holland,1
40.0192503,116.4541472,"Chaoyang, Beijing, China, 100012",China,Beijing,1
-31.978564,115.8197731,"The University of Western Australia, 35 Stirling Highway, Crawley WA 6009, Australia",Australia,Western Australia,1
52.2125712,0.0936427,"Madingley Road, Cambridge, Cambridgeshire, UK",United Kingdom,NULL,1
-33.8812733,18.6264694,"Cape Town 7535, South Africa",South Africa,Western Cape,1
53.2193835,6.5665018,"Groningen, The Netherlands",The Netherlands,Groningen,1
45.4003087,11.8704306,"35122 Padua, Italy",Italy,Veneto,1
53.466808,-2.233936,"The University of Manchester, Oxford Road, Manchester, Greater Manchester M13 9PL, UK",United Kingdom,England,1
52.2110079,0.0910654,"19 JJ Thomson Avenue, University of Cambridge, Cambridge, Cambridgeshire CB3 0FD, UK",United Kingdom,NULL,1
-33.4004544,-70.599787,"Alonso de Córdova 3107, Vitacura, Santiago Metropolitan Region, Chile",Chile,Santiago Metropolitan Region,1
44.257229,-76.4894799,"Kingston, ON K7K 7B4, Canada",Canada,Ontario,1
38.9000387,-77.0484419,"Astronomy Department, The George Washington University, Washington, DC 20052, USA",United States,District of Columbia,1
34.1366075,-118.1265468,"Division Office Geological and Planetary Sciences, California Institute of Technology, Pasadena, CA 91125, USA",United States,California,1
40.8075558,-77.8617399,"UNIVERSITY PARK, PA 16802, USA",United States,Pennsylvania,1
36.9923139,-122.0581762,"Santa Cruz, CA 95064, USA",United States,California,1
42.7240223,-84.4760328,"Physics and Astronomy, Michigan State University, East Lansing, MI 48864, USA",United States,Michigan,1
43.7044406,-72.2886934,"Dartmouth College, Hanover, NH 03755, USA",United States,New Hampshire,1
31.7078658,-111.0645359,"Amado, AZ, USA",United States,Arizona,1
32.8753499,-117.2400063,"Physics Electronic Development and Repair Facility, University of California - San Diego, Revelle College, 9500 Gilman Drive, La Jolla, CA 92093, USA",United States,California,1
