lat,lng,Address,Country,State,totalCount
51.1719559,-0.4207069,"Holmbury Saint Mary, Surrey RH5 6NT, UK",United Kingdom,NULL,1
43.296482,5.36978,"Marseille, France",France,Provence-Alpes-Côte d'Azur,1
47.0775152,15.4491946,"Universitätsplatz 5, 8010 Graz, Austria",Austria,Styria,1
39.5096699,-0.4135963,"Burjassot, Valencia, Spain",Spain,Valencian Community,1
52.4018377,-1.5668468,"Coventry, West Midlands CV4 9BU, UK",United Kingdom,NULL,1
-33.045646,-71.620361,"Valparaíso, Valparaíso Region, Chile",Chile,Valparaiso,1
20.6733373,-103.3803903,"Arcos, 44130 Guadalajara, JAL, Mexico",Mexico,Jalisco,1
46.9521713,7.4351353,"Hallerstrasse 6, 3012 Berne, Switzerland",Switzerland,Canton of Bern,1
38.9917426,-76.8632938,"Greenbelt, MD 20771, USA",United States,Maryland,1
19.3256792,-99.1807367,"UNAM: Instituto de Ciencias Nucleares, Circuito Exterior S/n, Ciudad Universitaria, Coyoacán, 04510 Ciudad De Mexico, Distrito Federal, Mexico",Mexico,Distrito Federal,1
21.0180008,-101.2566302,"Zona Centro, 36000 Guanajuato, Mexico",Mexico,Guanajuato,1
41.3790881,2.1278398,"08028 Barcelona, Spain",Spain,Catalonia,1
30.5456704,114.3419395,"Wuchang, Wuhan, Hubei, China, 430071",China,Hubei,1
45.9454276,-66.6406975,"University of New Brunswick - Fredericton, Bailey Drive, Fredericton, NB E3B 9P8, Canada",Canada,New Brunswick,1
39.1645203,-76.8983569,"Applied Physics Laboratory, 11100 Johns Hopkins Road, Laurel, MD 20723, USA",United States,Maryland,1
39.99,-105.24,"Boulder, CO 80307, USA",United States,Colorado,1
40.765023,-111.848931,"University of Utah, 201 Presidents Circle, Salt Lake City, UT 84112, USA",United States,Utah,1
51.6668499,10.112796,"Katlenburg-Lindau, Germany",Germany,Lower Saxony,1
35.89,-106.31,"Los Alamos, NM 87545, USA",United States,New Mexico,1
38.9852121,-0.556366,"46818 Vallés, Valencia, Spain",Spain,Valencian Community,1
40.8075558,-77.8617399,"UNIVERSITY PARK, PA 16802, USA",United States,Pennsylvania,1
40.484779,-3.364402,"Alcala de Henares, Madrid, Spain",Spain,Community of Madrid,1
